type,volatile acidity,chlorides,density,pH,alcohol,quality
white,0.22,0.053,0.9929,3.39,10.6,6
white,0.2,0.05,0.9985,3.21,9.2,6
white,0.34,0.063,0.9946,3.17,10,5
white,0.22,0.047,0.9966,3.33,9.5,6
white,0.43,0.045,0.9974,3.11,8.7,5
white,0.44,0.044,0.9975,3.12,8.7,6
white,0.39,0.044,0.9974,3.09,8.7,6
white,0.25,0.05,0.9972,3.22,9.7,6
white,0.43,0.045,0.9974,3.11,8.7,5
white,0.44,0.044,0.9975,3.12,8.7,6
white,0.39,0.044,0.9974,3.09,8.7,6
white,0.27,0.049,0.9957,3.12,9,5
white,0.24,0.035,0.99,3.26,12.6,7
white,0.21,0.034,0.9899,3.25,12.6,7
white,0.17,0.04,0.9916,3.21,11.5,7
white,0.26,0.044,0.9969,3.04,9.2,6
white,0.34,0.046,0.9979,3.14,8.8,6
white,0.265,0.034,0.9913,2.95,11.4,7
white,0.36,0.038,0.9956,2.89,10.1,4
white,0.34,0.046,0.9979,3.14,8.8,6
white,0.25,0.06,0.9975,3,9.1,5
white,0.12,0.054,0.9962,3.4,9.4,5
white,0.21,0.05,0.997,3.34,9.4,5
white,0.305,0.059,1,2.99,9,5
white,0.25,0.06,0.9975,3,9.1,5
white,0.13,0.051,0.9974,3.2,9.2,6
white,0.12,0.054,0.9962,3.4,9.4,5
white,0.23,0.04,0.999,3.16,9.1,6
white,0.23,0.04,0.999,3.16,9.1,6
white,0.33,0.051,0.9927,3.27,10.3,5
white,0.17,0.082,0.9959,2.89,8.8,6
white,0.27,0.052,1,3.04,8.9,5
white,0.31,0.056,0.9982,3.01,9.2,5
white,0.41,0.049,0.9968,3.22,9.1,5
white,0.41,0.049,0.9968,3.22,9.1,5
white,0.485,0.065,0.994,3.63,9.7,4
white,0.31,0.041,0.9914,3.31,11.3,6
white,0.14,0.035,0.9911,3.19,11.8,6
white,0.31,0.056,0.9982,3.01,9.2,5
white,0.32,0.06,0.9982,3.04,9.2,5
white,0.36,0.046,0.9934,3.22,10.2,5
white,0.24,0.054,0.9984,3.01,8.8,5
white,0.16,0.059,0.9952,3.29,9.7,5
white,0.19,0.058,0.9952,3.29,9.1,6
white,0.13,0.092,0.9928,3.21,9.8,6
white,0.19,0.026,0.9912,3.27,11,6
white,0.39,0.033,0.994,3.14,10.5,5
white,0.24,0.038,0.9958,3.45,9.7,7
white,0.3,0.044,0.9924,3.3,10.9,7
white,0.3,0.046,0.9924,3.31,10.9,6
white,0.26,0.02,0.994,3.39,10.6,5
white,0.24,0.038,0.9958,3.45,9.7,7
white,0.425,0.038,0.9979,3.23,9,5
white,0.24,0.035,0.9982,3.24,9.2,5
white,0.27,0.034,0.9961,3.19,8.9,5
white,0.27,0.036,0.9979,3.26,9.6,5
white,0.23,0.027,0.992,3.12,10.7,6
white,0.37,0.045,0.9975,3.16,8.7,5
white,0.19,0.035,0.9917,3.15,10.8,7
white,0.28,0.029,0.9923,3.23,11.8,6
white,0.31,0.045,0.9927,3.3,10.2,5
white,0.37,0.045,0.9975,3.16,8.7,5
white,0.21,0.039,0.992,3.21,10.8,6
white,0.21,0.036,0.9947,3.18,9.7,6
white,0.2,0.037,0.9921,3.12,11.2,6
white,0.255,0.04,0.9905,3,10.9,6
white,0.16,0.044,0.9918,3.28,10.1,6
white,0.595,0.058,0.9951,3.38,9,4
white,0.34,0.034,0.9917,3.38,12,7
white,0.25,0.054,0.994,2.99,9.4,6
white,0.22,0.043,0.9934,3.12,11.5,7
white,0.18,0.055,0.9968,3.14,9.9,6
white,0.25,0.054,0.994,2.99,9.4,6
white,0.18,0.048,0.9919,3.14,10.4,5
white,0.23,0.049,0.9966,3.06,9.7,6
white,0.24,0.066,0.9979,2.89,8.9,6
white,0.24,0.066,0.9979,2.89,8.9,6
white,0.32,0.036,0.9898,3.29,12.4,7
white,0.44,0.036,0.9894,3.36,12.1,8
white,0.44,0.036,0.9894,3.36,12.1,8
white,0.32,0.036,0.9898,3.29,12.4,7
white,0.22,0.055,0.998,2.98,9.1,5
white,0.36,0.049,0.9932,3.28,10.6,5
white,0.24,0.066,0.9979,2.89,8.9,6
white,0.24,0.05,0.997,3.15,9.5,5
white,0.23,0.051,0.9972,3.16,9.8,5
white,0.27,0.048,0.9974,3.14,9.6,6
white,0.46,0.034,0.9896,3.08,12.6,7
white,0.29,0.055,0.9968,3.08,9.3,5
white,0.42,0.034,0.9958,2.87,10,5
white,0.3,0.066,0.9906,3.12,12.7,6
white,0.19,0.045,0.9917,3.13,11,6
white,0.48,0.037,0.9902,3.03,11.4,4
white,0.22,0.038,0.9918,3.35,11.5,7
white,0.27,0.051,0.999,3.09,10.2,5
white,0.23,0.04,0.9927,3.11,11.4,6
white,0.32,0.044,0.991,3.03,12.6,4
white,0.23,0.054,0.9972,3.28,9.4,5
white,0.67,0.06,0.9931,3.11,8.7,4
white,0.25,0.049,0.995,3.19,9.2,6
white,0.33,0.048,0.9951,3.19,9.3,6
white,0.34,0.053,0.9936,3.09,9.2,5
white,0.28,0.048,1.001,2.93,8.7,5
white,0.27,0.05,0.9979,3.18,9.6,6
white,0.26,0.043,0.997,3.02,9.3,5
white,0.29,0.043,0.9972,3.02,9.3,5
white,0.24,0.04,0.9954,3.12,9.9,6
white,0.3,0.038,0.9924,3.15,11,5
white,0.53,0.034,0.9906,3.26,12.7,8
white,0.28,0.047,0.9962,3.09,8.9,4
white,0.28,0.052,0.9962,3.09,8.9,6
white,0.28,0.048,1.001,2.93,8.7,5
white,0.28,0.045,0.9928,3.02,11.4,6
white,0.15,0.055,0.9942,3.36,9.6,5
white,0.29,0.2,0.9942,3.02,9.1,5
white,0.3,0.197,0.9942,3.02,9.1,6
white,0.29,0.197,0.9942,3.01,9.1,5
white,0.26,0.052,0.9961,3.13,8.9,5
white,0.32,0.05,0.998,3.1,8.8,5
white,0.26,0.052,0.9961,3.13,8.9,5
white,0.27,0.049,0.9984,3.15,9.3,5
white,0.32,0.05,0.998,3.1,8.8,5
white,0.54,0.05,0.9973,3.2,9.6,5
white,0.26,0.034,0.9949,3.33,12,6
white,0.28,0.053,0.9924,3.28,10.2,4
white,0.21,0.042,0.9972,3.15,8.8,5
white,0.16,0.045,0.9958,3.21,9.2,5
white,0.44,0.049,0.9968,2.99,9.9,4
white,0.57,0.04,0.9938,3.32,10.2,5
white,0.4,0.048,0.993,3.22,9.5,6
white,0.245,0.032,0.994,3.31,10.5,5
white,0.18,0.038,0.9918,3.32,11.2,7
white,0.16,0.045,0.9958,3.21,9.2,5
white,0.13,0.051,0.9944,3.44,9.7,6
white,0.25,0.03,0.9912,3.3,11.1,7
white,0.26,0.044,0.9961,3.31,9.4,5
white,0.27,0.036,0.9939,3.03,11,5
white,0.26,0.044,0.9961,3.31,9.4,5
white,0.28,0.044,0.9989,3.31,9.4,5
white,0.23,0.036,0.9938,3.04,11,5
white,0.27,0.036,0.9939,3.03,11,5
white,0.685,0.07,0.9971,3,9.1,6
white,0.25,0.03,0.9912,3.3,11.1,7
white,0.19,0.043,0.9936,3.42,9.1,6
white,0.495,0.046,0.9929,3.39,10.4,6
white,0.24,0.046,0.9998,3.32,8.7,5
white,0.17,0.048,0.9938,3.5,9.7,6
white,0.25,0.041,0.9969,3.17,9.1,6
white,0.17,0.048,0.9938,3.5,9.7,6
white,0.24,0.046,0.9998,3.32,8.7,5
white,0.64,0.062,0.9972,3.37,8.9,4
white,0.28,0.041,0.9976,3.34,9.6,6
white,0.27,0.039,0.9976,3.31,9.5,6
white,0.23,0.058,0.9979,3.09,9,6
white,0.23,0.058,0.9979,3.09,9,6
white,0.23,0.058,0.9979,3.09,9,6
white,0.23,0.058,0.9979,3.09,9,6
white,0.52,0.044,0.9972,3.27,9.6,6
white,0.26,0.037,0.9918,3.34,11.1,7
white,0.25,0.039,0.9982,3.48,9.6,6
white,0.32,0.05,0.9985,3.2,8.7,5
white,0.31,0.031,0.9944,3.13,10.4,5
white,0.21,0.026,0.9903,3.15,11.4,7
white,0.24,0.047,0.9934,3.3,9.7,6
white,0.4,0.043,0.9975,3.14,8.7,5
white,0.18,0.038,0.9923,3.37,11.3,6
white,0.21,0.03,0.99,3.16,12.6,7
white,0.2,0.031,0.9905,3.25,10.9,7
white,0.19,0.03,0.9905,3.25,10.9,7
white,0.41,0.037,0.996,3.38,10,5
white,0.21,0.053,0.9964,3.72,10,4
white,0.26,0.074,0.998,3.02,9.8,3
white,0.4,0.043,0.9975,3.14,8.7,5
white,0.24,0.029,0.9913,3.53,11.7,3
white,0.24,0.054,0.9932,3.21,9.3,6
white,0.26,0.04,0.9935,3.32,9.6,8
white,0.35,0.035,0.9927,3.27,11,7
white,0.35,0.035,0.9927,3.27,11,7
white,0.23,0.032,0.9912,3.32,11.8,6
white,0.36,0.037,0.9904,3.28,11.4,4
white,0.115,0.048,0.9939,3.32,10.2,6
white,0.29,0.043,0.9996,2.93,8.9,5
white,0.28,0.036,0.9944,3.17,10.2,5
white,0.29,0.045,0.9977,3.08,9.6,6
white,0.24,0.038,0.9912,3.1,10.6,6
white,0.29,0.043,0.9996,2.93,8.9,5
white,0.32,0.053,0.9965,3.25,9.2,6
white,0.58,0.043,0.9944,3.34,9.7,5
white,0.585,0.044,0.9945,3.34,9.7,6
white,0.59,0.045,0.9944,3.34,9.7,6
white,0.32,0.053,0.9965,3.25,9.2,6
white,0.6,0.044,0.9944,3.33,9.7,5
white,0.25,0.051,0.9972,3.29,9.3,5
white,0.58,0.057,0.9949,3.24,9,5
white,0.29,0.046,0.9966,3.05,9.5,5
white,0.19,0.046,0.9954,3.14,9.8,6
white,0.2,0.044,0.9954,3.14,9.8,6
white,0.26,0.042,0.9915,2.89,10.6,5
white,0.32,0.044,0.9919,3.05,10.6,4
white,0.3,0.036,0.9916,3.26,12.4,7
white,0.24,0.034,0.99,3.19,12.6,8
white,0.31,0.039,0.9909,3.3,12.3,8
white,0.44,0.047,0.9938,3.08,10.5,4
white,0.34,0.054,0.9982,3.19,9.3,5
white,0.35,0.055,0.9988,3.12,8.8,5
white,0.32,0.056,0.9961,3.08,8.8,5
white,0.28,0.053,0.9978,3.22,9.7,6
white,0.23,0.058,0.9979,2.98,9,7
white,0.23,0.058,0.9979,2.98,9,7
white,0.23,0.058,0.9979,2.98,9,7
white,0.23,0.058,0.9979,2.98,9,7
white,0.15,0.041,0.9945,3.52,10.5,6
white,0.28,0.066,1,2.96,9.1,5
white,0.28,0.041,0.9957,3.44,9.8,7
white,0.59,0.066,0.9968,3.23,8.5,3
white,0.33,0.046,0.9934,3.37,9.4,6
white,0.39,0.045,0.9976,3.09,9.4,5
white,0.19,0.041,0.9932,3.19,11.2,7
white,0.17,0.046,0.997,3.17,10,6
white,0.17,0.043,0.9923,3.15,10.3,6
white,0.41,0.063,0.9914,3.27,10.8,6
white,0.2,0.05,0.992,3.13,10.5,6
white,0.41,0.063,0.9914,3.27,10.8,6
white,0.29,0.055,0.9914,3.32,11.1,6
white,0.41,0.057,0.9949,3.2,9.9,6
white,0.41,0.057,0.9949,3.2,9.9,6
white,0.43,0.058,0.995,3.2,9.9,5
white,0.4,0.058,0.995,3.2,9.9,6
white,0.33,0.036,0.9927,3.2,10.4,7
white,0.31,0.037,0.9928,3.21,10.4,6
white,0.36,0.035,0.9917,3.4,11.5,7
white,0.55,0.032,0.9918,3.53,12.5,8
white,0.25,0.042,0.9954,3.36,10,6
white,0.36,0.038,0.9941,3.29,10,6
white,0.34,0.04,0.9941,3.29,10,5
white,0.28,0.132,0.9934,3.09,9.1,6
white,0.25,0.031,0.9927,3.21,10.6,6
white,0.24,0.031,0.9938,3.19,10.5,5
white,0.3,0.03,0.9933,3.52,11.5,7
white,0.125,0.04,0.9934,3.54,10.1,6
white,0.1,0.041,0.9927,3.61,10.3,7
white,0.24,0.031,0.9938,3.19,10.5,5
white,0.25,0.031,0.9927,3.21,10.6,6
white,0.28,0.031,0.9946,3.16,10.4,6
white,0.41,0.046,0.993,3.02,11.4,5
white,0.27,0.057,0.9946,3.18,10.5,5
white,0.26,0.04,0.9976,2.96,10,6
white,0.34,0.039,0.9944,3.19,10,6
white,0.28,0.042,0.9978,3.23,9.6,6
white,0.21,0.036,0.992,3.17,10.4,5
white,0.32,0.03,0.9912,3.36,12.5,8
white,0.24,0.032,0.9927,3.2,10.6,5
white,0.23,0.033,0.9906,3.28,11.8,6
white,0.28,0.038,0.9954,3.11,9.8,5
white,0.26,0.031,0.9923,3.25,10.8,5
white,0.23,0.033,0.9906,3.28,11.8,6
white,0.23,0.036,0.991,3.32,11.2,6
white,0.27,0.045,0.9972,3.28,9.3,6
white,0.26,0.047,0.9945,3.45,10.4,5
white,0.18,0.049,0.9934,3.43,10.2,7
white,0.2,0.045,0.9964,3.19,9,7
white,0.24,0.047,0.9948,3.2,10,6
white,0.26,0.044,0.9962,3.18,9.1,6
white,0.31,0.053,0.9931,3.29,10,5
white,0.29,0.052,0.993,3.29,10,6
white,0.145,0.05,0.9942,3.28,9.6,6
white,0.34,0.031,0.9906,3.36,11.2,7
white,0.19,0.056,0.9995,3.2,8.8,6
white,0.18,0.052,0.998,3.15,10,6
white,0.17,0.054,0.997,3.15,10,5
white,0.12,0.044,0.9914,3.27,11.4,7
white,0.33,0.038,0.992,3.03,11.9,7
white,0.335,0.071,0.9924,3.14,9.6,6
white,0.33,0.038,0.992,3.03,11.9,7
white,0.4,0.047,0.9937,3.25,9.6,6
white,0.22,0.063,0.9978,2.89,9,6
white,0.22,0.063,0.9978,2.89,9,6
white,0.36,0.05,0.9927,3.15,9.5,6
white,0.2,0.05,0.994,3,10.4,6
white,0.24,0.04,0.9935,3.2,10.6,6
white,0.24,0.047,0.9968,3.28,10.2,6
white,0.365,0.055,0.9941,3.15,8.9,5
white,0.15,0.05,0.9942,3.4,9.7,6
white,0.22,0.063,0.9978,2.89,9,6
white,0.16,0.037,0.9923,3.49,11.4,7
white,0.26,0.028,0.9912,3.4,12.3,7
white,0.18,0.089,0.9923,3.49,10.8,6
white,0.33,0.053,0.9927,3.12,9.4,6
white,0.29,0.049,0.9931,3.17,10.6,6
white,0.39,0.044,0.9941,3.17,11.6,5
white,0.33,0.053,0.9927,3.12,9.4,6
white,0.29,0.049,0.9931,3.17,10.6,6
white,0.905,0.048,0.9934,3.34,10,5
white,0.27,0.048,0.9936,3.1,9.2,6
white,0.33,0.027,0.9893,3.51,12.5,7
white,0.33,0.027,0.9893,3.51,12.5,7
white,0.31,0.037,0.9919,3.32,10.4,7
white,0.2,0.045,0.9924,3.15,10,7
white,0.32,0.049,0.9927,3.22,10,6
white,0.31,0.037,0.9919,3.32,10.4,7
white,0.2,0.045,0.9924,3.15,10,7
white,0.28,0.046,0.9975,3.1,9,6
white,0.35,0.051,0.9969,3.12,9.2,6
white,0.27,0.048,0.9936,3.1,9.2,6
white,0.36,0.027,0.991,3.38,11.3,7
white,0.33,0.027,0.9893,3.51,12.5,7
white,0.17,0.026,0.9906,3.48,10.8,7
white,0.39,0.04,0.9941,3.12,10.1,5
white,0.21,0.047,0.995,3.39,9.7,6
white,0.3,0.032,0.9983,3.18,9.3,7
white,0.3,0.032,0.9983,3.18,9.3,7
white,0.36,0.031,0.9916,3.1,10.6,5
white,0.55,0.031,0.9957,3.36,10.2,6
white,0.24,0.021,0.99,3.08,12.2,6
white,0.37,0.044,0.9976,3.19,8.8,5
white,0.27,0.04,0.992,3.18,10,5
white,0.28,0.031,0.9917,3.09,11.4,5
white,0.2,0.037,0.9917,3.46,11.4,6
white,0.26,0.048,0.9993,3.35,9.4,5
white,0.19,0.032,0.9908,3.3,11.7,6
white,0.2,0.037,0.9917,3.46,11.4,6
white,0.37,0.044,0.9976,3.19,8.8,5
white,0.35,0.069,0.9934,3.23,9.2,5
white,0.27,0.046,1,3.07,8.7,5
white,0.22,0.035,0.9918,3.24,12.6,6
white,0.27,0.04,0.992,3.18,10,5
white,0.28,0.031,0.9896,3.39,12.8,7
white,0.49,0.049,0.9932,3.17,9.4,5
white,0.14,0.044,0.992,3.26,10.3,6
white,0.28,0.031,0.9917,3.09,11.4,5
white,0.25,0.038,0.9999,2.97,9,6
white,0.28,0.04,0.998,3.3,9.6,6
white,0.19,0.036,0.9918,3.16,10.5,5
white,0.19,0.036,0.9918,3.16,10.5,5
white,0.25,0.038,0.9999,2.97,9,6
white,0.28,0.04,0.998,3.3,9.6,6
white,0.21,0.041,0.9927,3.19,9.8,6
white,0.26,0.047,0.9959,3.1,9,5
white,0.21,0.041,0.9927,3.19,9.8,6
white,0.31,0.05,0.9929,3.31,10.5,6
white,0.22,0.03,0.9898,3.16,12.7,7
white,0.21,0.045,0.9954,3.25,10.4,6
white,0.21,0.045,0.9954,3.25,10.4,6
white,0.21,0.045,0.9954,3.25,10.4,6
white,0.23,0.047,0.9954,3.34,10.5,7
white,0.21,0.045,0.9954,3.25,10.4,6
white,0.21,0.045,0.9954,3.25,10.4,6
white,0.29,0.053,0.9974,3.09,9.4,5
white,0.21,0.051,0.9936,3.06,9.1,5
white,0.31,0.056,0.9978,3.1,9.3,5
white,0.29,0.053,0.9974,3.09,9.4,5
white,0.34,0.048,0.9927,3.21,9.8,5
white,0.155,0.045,0.9934,3.18,9.9,7
white,0.55,0.108,0.9938,3.07,9.2,4
white,0.23,0.028,0.9922,3.35,12.1,8
white,0.2,0.027,0.992,3.38,12.2,7
white,0.28,0.042,0.9935,3.27,9.8,5
white,0.16,0.035,0.9906,3.35,12.4,8
white,0.155,0.045,0.9934,3.18,9.9,7
white,0.35,0.06,0.9934,3.26,9.2,5
white,0.22,0.028,0.9913,3.29,11.6,7
white,0.38,0.033,0.9938,3.3,10.4,6
white,0.25,0.026,0.9898,3.43,12.9,8
white,0.52,0.048,0.9975,3.26,9.3,6
white,0.24,0.031,0.9975,3.2,11,6
white,0.32,0.038,0.9937,3.24,11.5,3
white,0.28,0.054,0.9914,3.53,12.4,5
white,0.41,0.048,0.9982,3.44,9.8,6
white,0.41,0.048,0.9982,3.44,9.8,6
white,0.28,0.052,0.9929,3.48,10.5,7
white,0.6,0.07,0.9971,3.03,9.1,5
white,0.2,0.038,0.9921,3.24,10.1,5
white,0.46,0.042,0.9931,3.46,10.6,7
white,0.27,0.046,0.9924,3.41,10.5,7
white,0.28,0.052,0.9929,3.48,10.5,7
white,0.41,0.048,0.9982,3.44,9.8,6
white,0.23,0.022,0.9892,3.3,12.9,7
white,0.21,0.056,0.9956,2.95,9.5,5
white,0.37,0.053,0.9924,3.29,9.8,6
white,0.43,0.059,0.9971,3.37,8.5,5
white,0.21,0.056,0.9956,2.95,9.5,5
white,0.25,0.047,0.9982,3.22,9.3,5
white,0.25,0.047,0.9973,3.35,9.5,5
white,0.32,0.044,0.9932,3.17,9.4,6
white,0.39,0.047,0.9976,3.16,8.7,5
white,0.21,0.081,0.9962,2.95,8.9,5
white,0.14,0.039,0.9956,3.22,9.4,6
white,0.32,0.044,0.9932,3.17,9.4,6
white,0.39,0.047,0.9976,3.16,8.7,5
white,0.29,0.047,0.9992,3.09,9.6,5
white,0.37,0.039,0.9983,3,9.3,6
white,0.38,0.036,0.9937,3.14,10,5
white,0.24,0.023,0.99,3.25,12.5,6
white,0.17,0.034,0.9944,3.36,9.6,7
white,0.16,0.03,0.9938,3.24,9.4,6
white,0.24,0.029,0.9965,3.03,9.5,5
white,0.28,0.028,0.9893,2.99,12.4,7
white,0.22,0.037,0.9927,3.11,10.5,6
white,0.55,0.073,0.994,2.97,9.2,6
white,0.22,0.041,0.9928,3.32,10.4,6
white,0.47,0.043,0.9964,3.22,9.2,5
white,0.36,0.047,0.9917,3.33,10.6,6
white,0.25,0.044,0.9972,3.34,9.5,5
white,0.47,0.043,0.9964,3.22,9.2,5
white,0.37,0.346,0.9954,3.29,9.6,5
white,0.18,0.028,0.993,3.47,9.7,6
white,0.16,0.025,0.9928,3.46,9.7,6
white,0.34,0.035,0.9916,3.1,10.7,6
white,0.29,0.045,0.9936,3.34,10.5,6
white,0.26,0.047,0.9962,3.13,8.9,6
white,0.28,0.035,0.9899,3.09,12.1,6
white,0.23,0.032,0.9898,3.25,12.7,7
white,0.19,0.039,0.996,3.18,9.9,6
white,0.19,0.022,0.9907,3.2,11.4,6
white,0.2,0.04,0.994,3.37,10.7,6
white,0.44,0.025,0.9913,3.33,12.5,6
white,0.4,0.041,0.9976,3.08,8.6,4
white,0.23,0.026,0.9904,3.29,12.5,6
white,0.335,0.04,0.992,3.27,10,5
white,0.4,0.041,0.9976,3.08,8.6,4
white,0.28,0.045,0.999,3.08,9.5,6
white,0.19,0.038,0.9975,3.12,9.6,6
white,0.3,0.038,0.9937,3.2,9.9,6
white,0.3,0.037,0.9937,3.19,9.9,5
white,0.18,0.053,0.998,3.06,8.9,6
white,0.18,0.053,0.998,3.06,8.9,6
white,0.51,0.09,0.9944,3.01,8.8,5
white,0.24,0.048,0.9938,3.64,10,7
white,0.62,0.039,0.9907,3.44,12,6
white,0.24,0.048,0.9938,3.64,10,7
white,0.27,0.041,0.9921,3.21,10,6
white,0.34,0.042,0.9908,3.11,12.1,6
white,0.26,0.04,0.9931,3.16,11,6
white,0.36,0.025,0.9915,3.21,11.2,6
white,0.28,0.036,0.9952,3.17,10.3,7
white,0.31,0.051,0.9926,3.37,10.4,6
white,0.18,0.055,0.9934,3.08,9.1,5
white,0.15,0.045,0.992,3,10.4,6
white,0.13,0.05,0.9918,3.43,10.8,6
white,0.34,0.048,0.9942,3.19,11.7,5
white,0.19,0.039,0.9942,3.05,9.8,5
white,0.19,0.039,0.9942,3.05,9.8,5
white,0.25,0.038,0.9901,3.03,11.4,6
white,0.36,0.033,0.9898,3.03,11.2,6
white,0.35,0.038,0.9902,3.37,11.4,5
white,0.32,0.114,0.9934,3.09,9.2,6
white,0.31,0.04,0.9906,3.04,12.5,4
white,0.28,0.034,0.9898,3.36,12.6,6
white,0.36,0.031,0.9896,3.44,12.2,6
white,0.19,0.03,0.9922,3.56,11.2,6
white,0.1,0.048,0.9947,3.43,9.7,6
white,0.18,0.186,0.9945,3.06,9.3,5
white,0.25,0.067,0.9976,3.01,9,6
white,0.25,0.067,0.9976,3.01,9,6
white,0.25,0.067,0.9976,3.01,9,6
white,0.345,0.047,0.9987,3.09,9.1,5
white,0.345,0.047,0.9987,3.09,9.1,5
white,0.25,0.067,0.9976,3.01,9,6
white,0.24,0.045,0.992,3.31,10.4,5
white,0.25,0.053,0.9955,3.37,9.5,6
white,0.31,0.04,0.9953,3.46,11.4,4
white,0.46,0.05,0.9976,3.16,8.7,5
white,0.35,0.045,0.992,3.34,9.9,6
white,0.24,0.036,0.9952,3.22,9.9,6
white,0.28,0.047,0.9983,3.21,9,6
white,0.16,0.04,0.9933,3.49,10,6
white,0.26,0.039,0.9958,3.49,9.7,6
white,0.22,0.052,0.9922,3.3,11.8,6
white,0.18,0.044,0.9928,3.49,10.2,7
white,0.46,0.05,0.9976,3.16,8.7,5
white,0.3,0.05,0.9976,3.07,9.6,7
white,0.25,0.026,0.9916,2.93,11.3,7
white,0.28,0.028,0.9901,3,12.1,7
white,0.3,0.05,0.9976,3.07,9.6,7
white,0.28,0.028,0.9901,3,12.1,7
white,0.25,0.026,0.9916,2.93,11.3,7
white,0.35,0.046,0.9982,2.98,9.4,5
white,0.41,0.049,0.993,3.32,10.4,6
white,0.21,0.044,0.9969,3.25,9.5,5
white,0.34,0.047,0.991,3.01,12.3,6
white,0.21,0.049,0.9953,3.12,9.9,7
white,0.37,0.057,0.9924,3.24,10.1,5
white,0.34,0.063,0.9969,3.09,9.2,6
white,0.3,0.046,0.9928,3.08,10.4,7
white,0.51,0.066,0.9945,3.2,9.1,5
white,0.22,0.059,0.9967,3.12,10,6
white,0.35,0.051,0.9944,3.13,11.5,6
white,0.26,0.048,0.9928,3.08,9.8,5
