type,volatile acidity,chlorides,density,alcohol,quality
white,0.28,0.048,1.001,8.7,5
white,0.27,0.05,0.9979,9.6,6
white,0.26,0.043,0.997,9.3,5
white,0.29,0.043,0.9972,9.3,5
white,0.24,0.04,0.9954,9.9,6
white,0.3,0.038,0.9924,11,5
white,0.53,0.034,0.9906,12.7,8
white,0.28,0.047,0.9962,8.9,4
white,0.28,0.052,0.9962,8.9,6
white,0.28,0.048,1.001,8.7,5
white,0.28,0.045,0.9928,11.4,6
white,0.15,0.055,0.9942,9.6,5
white,0.29,0.2,0.9942,9.1,5
white,0.3,0.197,0.9942,9.1,6
white,0.29,0.197,0.9942,9.1,5
white,0.26,0.052,0.9961,8.9,5
white,0.32,0.05,0.998,8.8,5
white,0.26,0.052,0.9961,8.9,5
white,0.27,0.049,0.9984,9.3,5
white,0.32,0.05,0.998,8.8,5
white,0.54,0.05,0.9973,9.6,5
white,0.26,0.034,0.9949,12,6
white,0.28,0.053,0.9924,10.2,4
white,0.21,0.042,0.9972,8.8,5
white,0.16,0.045,0.9958,9.2,5
white,0.44,0.049,0.9968,9.9,4
white,0.57,0.04,0.9938,10.2,5
white,0.4,0.048,0.993,9.5,6
white,0.245,0.032,0.994,10.5,5
white,0.18,0.038,0.9918,11.2,7
white,0.16,0.045,0.9958,9.2,5
white,0.13,0.051,0.9944,9.7,6
white,0.25,0.03,0.9912,11.1,7
white,0.26,0.044,0.9961,9.4,5
white,0.27,0.036,0.9939,11,5
white,0.26,0.044,0.9961,9.4,5
white,0.28,0.044,0.9989,9.4,5
white,0.23,0.036,0.9938,11,5
white,0.27,0.036,0.9939,11,5
white,0.685,0.07,0.9971,9.1,6
white,0.25,0.03,0.9912,11.1,7
white,0.19,0.043,0.9936,9.1,6
white,0.495,0.046,0.9929,10.4,6
white,0.24,0.046,0.9998,8.7,5
white,0.17,0.048,0.9938,9.7,6
white,0.25,0.041,0.9969,9.1,6
white,0.17,0.048,0.9938,9.7,6
white,0.24,0.046,0.9998,8.7,5
white,0.64,0.062,0.9972,8.9,4
white,0.28,0.041,0.9976,9.6,6
white,0.27,0.039,0.9976,9.5,6
white,0.23,0.058,0.9979,9,6
white,0.23,0.058,0.9979,9,6
white,0.23,0.058,0.9979,9,6
white,0.23,0.058,0.9979,9,6
white,0.52,0.044,0.9972,9.6,6
white,0.26,0.037,0.9918,11.1,7
white,0.25,0.039,0.9982,9.6,6
white,0.32,0.05,0.9985,8.7,5
white,0.31,0.031,0.9944,10.4,5
white,0.21,0.026,0.9903,11.4,7
white,0.24,0.047,0.9934,9.7,6
white,0.4,0.043,0.9975,8.7,5
white,0.18,0.038,0.9923,11.3,6
white,0.21,0.03,0.99,12.6,7
white,0.2,0.031,0.9905,10.9,7
white,0.19,0.03,0.9905,10.9,7
white,0.41,0.037,0.996,10,5
white,0.21,0.053,0.9964,10,4
white,0.26,0.074,0.998,9.8,3
white,0.4,0.043,0.9975,8.7,5
white,0.24,0.029,0.9913,11.7,3
white,0.24,0.054,0.9932,9.3,6
white,0.26,0.04,0.9935,9.6,8
white,0.35,0.035,0.9927,11,7
white,0.35,0.035,0.9927,11,7
white,0.23,0.032,0.9912,11.8,6
white,0.36,0.037,0.9904,11.4,4
white,0.115,0.048,0.9939,10.2,6
white,0.29,0.043,0.9996,8.9,5
white,0.28,0.036,0.9944,10.2,5
white,0.29,0.045,0.9977,9.6,6
white,0.24,0.038,0.9912,10.6,6
white,0.29,0.043,0.9996,8.9,5
white,0.32,0.053,0.9965,9.2,6
white,0.58,0.043,0.9944,9.7,5
white,0.585,0.044,0.9945,9.7,6
white,0.59,0.045,0.9944,9.7,6
white,0.32,0.053,0.9965,9.2,6
white,0.6,0.044,0.9944,9.7,5
white,0.25,0.051,0.9972,9.3,5
white,0.58,0.057,0.9949,9,5
white,0.29,0.046,0.9966,9.5,5
white,0.19,0.046,0.9954,9.8,6
white,0.2,0.044,0.9954,9.8,6
white,0.26,0.042,0.9915,10.6,5
white,0.32,0.044,0.9919,10.6,4
white,0.3,0.036,0.9916,12.4,7
white,0.24,0.034,0.99,12.6,8
white,0.31,0.039,0.9909,12.3,8
white,0.44,0.047,0.9938,10.5,4
white,0.34,0.054,0.9982,9.3,5
white,0.35,0.055,0.9988,8.8,5
white,0.32,0.056,0.9961,8.8,5
white,0.28,0.053,0.9978,9.7,6
white,0.23,0.058,0.9979,9,7
white,0.23,0.058,0.9979,9,7
white,0.23,0.058,0.9979,9,7
white,0.23,0.058,0.9979,9,7
white,0.15,0.041,0.9945,10.5,6
white,0.28,0.066,1,9.1,5
white,0.28,0.041,0.9957,9.8,7
white,0.59,0.066,0.9968,8.5,3
white,0.33,0.046,0.9934,9.4,6
white,0.39,0.045,0.9976,9.4,5
white,0.19,0.041,0.9932,11.2,7
white,0.17,0.046,0.997,10,6
white,0.17,0.043,0.9923,10.3,6
white,0.41,0.063,0.9914,10.8,6
white,0.2,0.05,0.992,10.5,6
white,0.41,0.063,0.9914,10.8,6
white,0.29,0.055,0.9914,11.1,6
white,0.41,0.057,0.9949,9.9,6
white,0.41,0.057,0.9949,9.9,6
white,0.43,0.058,0.995,9.9,5
white,0.4,0.058,0.995,9.9,6
white,0.33,0.036,0.9927,10.4,7
white,0.31,0.037,0.9928,10.4,6
white,0.36,0.035,0.9917,11.5,7
white,0.55,0.032,0.9918,12.5,8
white,0.25,0.042,0.9954,10,6
white,0.36,0.038,0.9941,10,6
white,0.34,0.04,0.9941,10,5
white,0.28,0.132,0.9934,9.1,6
white,0.25,0.031,0.9927,10.6,6
white,0.24,0.031,0.9938,10.5,5
white,0.3,0.03,0.9933,11.5,7
white,0.125,0.04,0.9934,10.1,6
white,0.1,0.041,0.9927,10.3,7
white,0.24,0.031,0.9938,10.5,5
white,0.25,0.031,0.9927,10.6,6
white,0.28,0.031,0.9946,10.4,6
white,0.41,0.046,0.993,11.4,5
white,0.27,0.057,0.9946,10.5,5
white,0.26,0.04,0.9976,10,6
white,0.34,0.039,0.9944,10,6
white,0.28,0.042,0.9978,9.6,6
white,0.21,0.036,0.992,10.4,5
white,0.32,0.03,0.9912,12.5,8
white,0.24,0.032,0.9927,10.6,5
white,0.23,0.033,0.9906,11.8,6
white,0.28,0.038,0.9954,9.8,5
white,0.26,0.031,0.9923,10.8,5
white,0.23,0.033,0.9906,11.8,6
white,0.23,0.036,0.991,11.2,6
white,0.27,0.045,0.9972,9.3,6
white,0.26,0.047,0.9945,10.4,5
white,0.18,0.049,0.9934,10.2,7
white,0.2,0.045,0.9964,9,7
white,0.24,0.047,0.9948,10,6
white,0.26,0.044,0.9962,9.1,6
white,0.31,0.053,0.9931,10,5
white,0.29,0.052,0.993,10,6
white,0.145,0.05,0.9942,9.6,6
white,0.34,0.031,0.9906,11.2,7
white,0.19,0.056,0.9995,8.8,6
white,0.18,0.052,0.998,10,6
white,0.17,0.054,0.997,10,5
white,0.12,0.044,0.9914,11.4,7
white,0.33,0.038,0.992,11.9,7
white,0.335,0.071,0.9924,9.6,6
white,0.33,0.038,0.992,11.9,7
white,0.4,0.047,0.9937,9.6,6
white,0.22,0.063,0.9978,9,6
white,0.22,0.063,0.9978,9,6
white,0.36,0.05,0.9927,9.5,6
white,0.2,0.05,0.994,10.4,6
white,0.24,0.04,0.9935,10.6,6
white,0.24,0.047,0.9968,10.2,6
white,0.365,0.055,0.9941,8.9,5
white,0.15,0.05,0.9942,9.7,6
white,0.22,0.063,0.9978,9,6
white,0.16,0.037,0.9923,11.4,7
white,0.26,0.028,0.9912,12.3,7
white,0.18,0.089,0.9923,10.8,6
white,0.33,0.053,0.9927,9.4,6
white,0.29,0.049,0.9931,10.6,6
white,0.39,0.044,0.9941,11.6,5
white,0.33,0.053,0.9927,9.4,6
white,0.29,0.049,0.9931,10.6,6
white,0.905,0.048,0.9934,10,5
white,0.27,0.048,0.9936,9.2,6
white,0.33,0.027,0.9893,12.5,7
white,0.33,0.027,0.9893,12.5,7
white,0.31,0.037,0.9919,10.4,7
white,0.2,0.045,0.9924,10,7
white,0.32,0.049,0.9927,10,6
white,0.31,0.037,0.9919,10.4,7
white,0.2,0.045,0.9924,10,7
white,0.28,0.046,0.9975,9,6
white,0.35,0.051,0.9969,9.2,6
white,0.27,0.048,0.9936,9.2,6
white,0.36,0.027,0.991,11.3,7
white,0.33,0.027,0.9893,12.5,7
white,0.17,0.026,0.9906,10.8,7
white,0.39,0.04,0.9941,10.1,5
white,0.21,0.047,0.995,9.7,6
white,0.3,0.032,0.9983,9.3,7
white,0.3,0.032,0.9983,9.3,7
white,0.36,0.031,0.9916,10.6,5
white,0.55,0.031,0.9957,10.2,6
white,0.24,0.021,0.99,12.2,6
white,0.37,0.044,0.9976,8.8,5
white,0.27,0.04,0.992,10,5
white,0.28,0.031,0.9917,11.4,5
white,0.2,0.037,0.9917,11.4,6
white,0.26,0.048,0.9993,9.4,5
white,0.19,0.032,0.9908,11.7,6
white,0.2,0.037,0.9917,11.4,6
white,0.37,0.044,0.9976,8.8,5
white,0.35,0.069,0.9934,9.2,5
white,0.27,0.046,1,8.7,5
white,0.22,0.035,0.9918,12.6,6
white,0.27,0.04,0.992,10,5
white,0.28,0.031,0.9896,12.8,7
white,0.49,0.049,0.9932,9.4,5
white,0.14,0.044,0.992,10.3,6
white,0.28,0.031,0.9917,11.4,5
white,0.25,0.038,0.9999,9,6
white,0.28,0.04,0.998,9.6,6
white,0.19,0.036,0.9918,10.5,5
white,0.19,0.036,0.9918,10.5,5
white,0.25,0.038,0.9999,9,6
white,0.28,0.04,0.998,9.6,6
white,0.21,0.041,0.9927,9.8,6
white,0.26,0.047,0.9959,9,5
white,0.21,0.041,0.9927,9.8,6
white,0.31,0.05,0.9929,10.5,6
white,0.22,0.03,0.9898,12.7,7
white,0.21,0.045,0.9954,10.4,6
white,0.21,0.045,0.9954,10.4,6
white,0.21,0.045,0.9954,10.4,6
white,0.23,0.047,0.9954,10.5,7
white,0.21,0.045,0.9954,10.4,6
white,0.21,0.045,0.9954,10.4,6
white,0.29,0.053,0.9974,9.4,5
white,0.21,0.051,0.9936,9.1,5
white,0.31,0.056,0.9978,9.3,5
white,0.29,0.053,0.9974,9.4,5
white,0.34,0.048,0.9927,9.8,5
white,0.155,0.045,0.9934,9.9,7
white,0.55,0.108,0.9938,9.2,4
white,0.23,0.028,0.9922,12.1,8
white,0.2,0.027,0.992,12.2,7
white,0.28,0.042,0.9935,9.8,5
white,0.16,0.035,0.9906,12.4,8
white,0.155,0.045,0.9934,9.9,7
white,0.35,0.06,0.9934,9.2,5
white,0.22,0.028,0.9913,11.6,7
white,0.38,0.033,0.9938,10.4,6
white,0.25,0.026,0.9898,12.9,8
white,0.52,0.048,0.9975,9.3,6
white,0.24,0.031,0.9975,11,6
white,0.32,0.038,0.9937,11.5,3
white,0.28,0.054,0.9914,12.4,5
white,0.41,0.048,0.9982,9.8,6
white,0.41,0.048,0.9982,9.8,6
white,0.28,0.052,0.9929,10.5,7
white,0.6,0.07,0.9971,9.1,5
white,0.2,0.038,0.9921,10.1,5
white,0.46,0.042,0.9931,10.6,7
white,0.27,0.046,0.9924,10.5,7
white,0.28,0.052,0.9929,10.5,7
white,0.41,0.048,0.9982,9.8,6
white,0.23,0.022,0.9892,12.9,7
white,0.21,0.056,0.9956,9.5,5
white,0.37,0.053,0.9924,9.8,6
white,0.43,0.059,0.9971,8.5,5
white,0.21,0.056,0.9956,9.5,5
white,0.25,0.047,0.9982,9.3,5
white,0.25,0.047,0.9973,9.5,5
white,0.32,0.044,0.9932,9.4,6
white,0.39,0.047,0.9976,8.7,5
white,0.21,0.081,0.9962,8.9,5
white,0.14,0.039,0.9956,9.4,6
white,0.32,0.044,0.9932,9.4,6
white,0.39,0.047,0.9976,8.7,5
white,0.29,0.047,0.9992,9.6,5
white,0.37,0.039,0.9983,9.3,6
white,0.38,0.036,0.9937,10,5
white,0.24,0.023,0.99,12.5,6
white,0.17,0.034,0.9944,9.6,7
white,0.16,0.03,0.9938,9.4,6
white,0.24,0.029,0.9965,9.5,5
white,0.28,0.028,0.9893,12.4,7
white,0.22,0.037,0.9927,10.5,6
white,0.55,0.073,0.994,9.2,6
white,0.22,0.041,0.9928,10.4,6
white,0.47,0.043,0.9964,9.2,5
white,0.36,0.047,0.9917,10.6,6
white,0.25,0.044,0.9972,9.5,5
white,0.47,0.043,0.9964,9.2,5
white,0.37,0.346,0.9954,9.6,5
white,0.18,0.028,0.993,9.7,6
white,0.16,0.025,0.9928,9.7,6
white,0.34,0.035,0.9916,10.7,6
white,0.29,0.045,0.9936,10.5,6
white,0.26,0.047,0.9962,8.9,6
white,0.28,0.035,0.9899,12.1,6
white,0.23,0.032,0.9898,12.7,7
white,0.19,0.039,0.996,9.9,6
white,0.19,0.022,0.9907,11.4,6
white,0.2,0.04,0.994,10.7,6
white,0.44,0.025,0.9913,12.5,6
white,0.4,0.041,0.9976,8.6,4
white,0.23,0.026,0.9904,12.5,6
white,0.335,0.04,0.992,10,5
white,0.4,0.041,0.9976,8.6,4
white,0.28,0.045,0.999,9.5,6
white,0.19,0.038,0.9975,9.6,6
white,0.3,0.038,0.9937,9.9,6
white,0.3,0.037,0.9937,9.9,5
white,0.18,0.053,0.998,8.9,6
white,0.18,0.053,0.998,8.9,6
white,0.51,0.09,0.9944,8.8,5
white,0.24,0.048,0.9938,10,7
white,0.62,0.039,0.9907,12,6
white,0.24,0.048,0.9938,10,7
white,0.27,0.041,0.9921,10,6
white,0.34,0.042,0.9908,12.1,6
white,0.26,0.04,0.9931,11,6
white,0.36,0.025,0.9915,11.2,6
white,0.28,0.036,0.9952,10.3,7
white,0.31,0.051,0.9926,10.4,6
white,0.18,0.055,0.9934,9.1,5
white,0.15,0.045,0.992,10.4,6
white,0.13,0.05,0.9918,10.8,6
white,0.34,0.048,0.9942,11.7,5
white,0.19,0.039,0.9942,9.8,5
white,0.19,0.039,0.9942,9.8,5
white,0.25,0.038,0.9901,11.4,6
white,0.36,0.033,0.9898,11.2,6
white,0.35,0.038,0.9902,11.4,5
white,0.32,0.114,0.9934,9.2,6
white,0.31,0.04,0.9906,12.5,4
white,0.28,0.034,0.9898,12.6,6
white,0.36,0.031,0.9896,12.2,6
white,0.19,0.03,0.9922,11.2,6
white,0.1,0.048,0.9947,9.7,6
white,0.18,0.186,0.9945,9.3,5
white,0.25,0.067,0.9976,9,6
white,0.25,0.067,0.9976,9,6
white,0.25,0.067,0.9976,9,6
white,0.345,0.047,0.9987,9.1,5
white,0.345,0.047,0.9987,9.1,5
white,0.25,0.067,0.9976,9,6
white,0.24,0.045,0.992,10.4,5
white,0.25,0.053,0.9955,9.5,6
white,0.31,0.04,0.9953,11.4,4
white,0.46,0.05,0.9976,8.7,5
white,0.35,0.045,0.992,9.9,6
white,0.24,0.036,0.9952,9.9,6
white,0.28,0.047,0.9983,9,6
white,0.16,0.04,0.9933,10,6
white,0.26,0.039,0.9958,9.7,6
white,0.22,0.052,0.9922,11.8,6
white,0.18,0.044,0.9928,10.2,7
white,0.46,0.05,0.9976,8.7,5
white,0.3,0.05,0.9976,9.6,7
white,0.25,0.026,0.9916,11.3,7
white,0.28,0.028,0.9901,12.1,7
white,0.3,0.05,0.9976,9.6,7
white,0.28,0.028,0.9901,12.1,7
white,0.25,0.026,0.9916,11.3,7
white,0.35,0.046,0.9982,9.4,5
white,0.41,0.049,0.993,10.4,6
white,0.21,0.044,0.9969,9.5,5
white,0.34,0.047,0.991,12.3,6
white,0.21,0.049,0.9953,9.9,7
white,0.37,0.057,0.9924,10.1,5
white,0.34,0.063,0.9969,9.2,6
white,0.3,0.046,0.9928,10.4,7
white,0.51,0.066,0.9945,9.1,5
white,0.22,0.059,0.9967,10,6
white,0.35,0.051,0.9944,11.5,6
white,0.26,0.048,0.9928,9.8,5
white,0.26,0.05,0.9929,9.8,6
white,0.28,0.04,0.9948,9.4,6
white,0.41,0.051,0.9976,8.7,5
white,0.28,0.038,0.9912,11.6,7
white,0.34,0.047,0.9987,8.8,5
white,0.2,0.032,0.99,12.7,7
white,0.2,0.035,0.991,11.7,7
white,0.22,0.047,0.9933,10.2,6
white,0.23,0.047,0.9933,10.2,6
white,0.22,0.033,0.9899,12.7,7
white,0.28,0.038,0.9912,11.6,7
white,0.38,0.034,0.9912,12.3,7
white,0.41,0.051,0.9976,8.7,5
white,0.18,0.042,0.994,9.4,5
white,0.3,0.056,0.9947,10.1,6
white,0.24,0.042,0.9954,9.7,6
white,0.25,0.046,0.993,10.1,7
white,0.24,0.042,0.9954,9.7,6
white,0.26,0.049,0.9963,8.9,6
white,0.32,0.034,0.992,10.8,7
white,0.28,0.036,0.9926,10.8,7
white,0.23,0.04,0.995,9.5,6
white,0.31,0.059,0.9983,9.1,5
white,0.2,0.037,0.992,10.9,6
white,0.41,0.043,0.9968,9.4,5
white,0.45,0.03,0.9905,10.8,5
white,0.475,0.03,0.9904,10.8,5
white,0.27,0.051,0.9926,10.5,7
white,0.41,0.043,0.9968,9.4,5
white,0.29,0.034,0.9928,10.8,6
white,0.27,0.036,0.9949,10.5,8
white,0.19,0.036,0.9909,11.5,7
white,0.3,0.18,0.9937,9.4,6
white,0.24,0.045,0.9914,10.8,6
white,0.45,0.03,0.9905,10.8,5
white,0.475,0.03,0.9904,10.8,5
white,0.26,0.052,0.9924,9.8,6
white,0.26,0.052,0.9924,9.8,6
white,0.25,0.049,0.9965,9.6,5
white,0.25,0.049,0.9965,9.6,5
white,0.28,0.044,0.9993,9.5,5
white,0.37,0.061,0.9965,10.7,6
white,0.36,0.037,0.9908,12.4,8
white,0.24,0.032,0.992,11.1,6
white,0.23,0.047,0.9978,8.8,5
white,0.21,0.045,0.9978,8.7,5
white,0.21,0.045,0.9978,8.7,5
white,0.23,0.047,0.9978,8.8,5
white,0.32,0.037,0.9912,11.7,7
white,0.26,0.051,0.9928,10.9,6
white,0.24,0.051,0.9928,10.8,6
white,0.19,0.057,0.993,9.6,6
white,0.46,0.084,0.9993,9,5
white,0.26,0.083,0.9965,9,5
white,0.32,0.043,0.9937,10.4,6
white,0.24,0.045,0.9913,11.4,5
white,0.36,0.066,0.9934,9.3,5
white,0.24,0.039,0.9952,11,8
white,0.56,0.096,0.9983,9.1,4
white,0.32,0.048,0.9957,9.4,6
white,0.32,0.048,0.9957,9.4,6
white,0.31,0.036,0.9916,10.5,6
white,0.23,0.05,0.9999,8.8,5
white,0.23,0.05,0.9999,8.8,5
white,0.24,0.04,0.9936,10.7,6
white,0.29,0.045,0.9972,9.5,5
white,0.17,0.033,0.9933,10.9,6
white,0.14,0.027,0.9934,10.8,6
white,0.17,0.037,0.9931,10.8,7
white,0.28,0.053,0.9976,9.2,5
white,0.35,0.046,0.9937,10.3,5
white,0.335,0.046,0.9937,10.3,5
white,0.235,0.047,0.991,11,7
white,0.28,0.054,0.9979,9,4
white,0.21,0.046,0.9971,10.4,6
white,0.24,0.05,0.9969,9.5,5
white,0.24,0.051,0.9968,9.5,5
white,0.26,0.058,0.9961,9,5
white,0.33,0.061,0.993,9.5,4
white,0.105,0.05,0.9973,9,6
white,0.32,0.041,0.9944,10,5
white,0.26,0.067,0.9986,9.1,7
white,0.26,0.067,0.9986,9.1,7
white,0.26,0.067,0.9986,9.1,7
white,0.26,0.067,0.9986,9.1,7
white,0.24,0.053,0.9972,9.5,6
white,0.21,0.048,0.9917,11.4,7
white,0.27,0.03,0.992,12.2,6
white,0.27,0.028,0.9932,11.3,6
white,0.34,0.05,0.9936,10.2,5
white,0.27,0.052,0.9915,11.3,5
white,0.29,0.038,0.9922,10,4
white,0.28,0.049,0.9934,9.4,5
white,0.25,0.032,0.9952,12.2,7
white,0.57,0.094,0.9972,9.2,4
white,0.28,0.049,0.9934,9.4,5
white,0.17,0.052,0.9958,9.6,6
white,0.28,0.056,0.9944,9.5,5
white,0.22,0.036,0.9908,12.5,6
white,0.17,0.052,0.9958,9.6,6
white,0.14,0.047,0.9925,10,6
white,0.24,0.047,0.9966,9.3,5
white,0.42,0.058,0.9972,9.3,6
white,0.28,0.038,0.9912,11.6,6
white,0.32,0.039,0.995,12.5,8
white,0.31,0.038,0.9928,10.6,6
white,0.32,0.047,0.9968,9.4,5
white,0.28,0.056,0.9955,9.1,6
white,0.29,0.057,0.9981,9,6
white,0.32,0.033,0.991,11.8,7
